Estimate,Std. Error,t value,Pr(>|t|)
-206.41187235730547,174.7717771369118,-1.181036639546256,0.23778184861672522
-20.442195320708112,56.23561432245366,-0.36350977164565246,0.7162771045844494
12.657919155293305,56.68475809067023,0.22330375186653004,0.8233305613247587
13.24934085059203,57.29593933895925,0.23124397650956982,0.8171578927497866
14.234287101729855,54.997143530601775,0.2588186619875911,0.7958118933035595
-20.441903780590632,22.35277153387644,-0.9145131622541832,0.36059931121709077
19.141673269448038,6.033395778693148,3.1726201912771224,0.0015423801949920415
0.07270973537096366,0.027850270857726397,2.6107370999155677,0.009127870275947447
-18.54520491222746,44.35280261863831,-0.418129268440733,0.6759145210205908
-3.9847938054024787,6.022748873063442,-0.6616237683799744,0.5083174934119536
170.38070525927887,28.075713057259716,6.068615422582204,1.6440112546166222e-9
-10.502800170685436,13.754855446369644,-0.7635703778666367,0.44524752610305085
-37.97877733747577,50.01456150217117,-0.7593543999346487,0.44776401104858476
9.486287406871918,2.0824498694395515,4.555349709054441,5.66839768404955e-6
-2.474098662978438,55.39781493048805,-0.044660582120123006,0.9643840026177464
-27.62751264392931,57.34650187780031,-0.48176456696174413,0.6300459051037934
-49.67500019774736,58.424769078395066,-0.85023870836516,0.39533275409075697
4.8244080486316925,56.32034480709807,0.08566012983684132,0.9317484232829902
-37.07816674357036,63.271490810619845,-0.5860169606964113,0.5579553205205775
48.52473000590982,55.60199142692256,0.8727156844676264,0.38296255930557266
-71.07462850870934,65.95692619265895,-1.077591583044693,0.2813952986857303
71.87906260335588,56.46467251224931,1.2729917558233002,0.20322502582415122
-60.20725839249413,79.56968358631381,-0.7566607742907995,0.44937604269903486
140.3900315584243,56.593992247330164,2.4806525566332924,0.013226947541657121
303.71849811147047,59.14015143168881,5.135571870530083,3.194985790720879e-7
198.9197455039059,59.76825897130179,3.328183703651445,8.960514314911503e-4
252.0074489027867,72.63591945778424,3.469460437535352,5.367836399465213e-4
329.79759743257307,67.22347891404542,4.90598824637245,1.0344494214884666e-6
396.65561369610253,95.93945627634918,4.134436748875816,3.7621891840591175e-5
81.67174774742286,97.68987386076216,0.8360308445461807,0.40327529562702336
581.2901912343061,96.53017633345114,6.02184947043206,2.1816280908161626e-9
1.4577703768892882,4.789256087741772,0.30438346795037546,0.7608794385452093
3.6373853172148203,2.7410694749,1.3269949377505361,0.18471927677698766
-1.4561623233093344,0.2357532965667541,-6.17663610441612,8.488045675175482e-10
-0.007546814913951654,0.00414215077494979,-1.8219556273982167,0.06866763838683691
0.762830342001361,0.651652005233944,1.1706099818222824,0.24194793196969644
0.7476880802297224,0.5920339354774714,1.2629142274196108,0.20682305299820603
-0.4011734048847712,0.30459052980853263,-1.3170908666692662,0.18801626835623808
0.07535603126942479,0.021249448622712015,3.5462581927364516,4.031772954836845e-4
-0.054691979442452916,0.02591175652613028,-2.110701348528792,0.0349688203609204
-0.01602256493755695,0.13690218595682935,-0.11703658948593774,0.9068472665135003
-3.310517570429855,1.0794394086200758,-3.066885963207444,0.002203029176131345
98.83978417132982,28.69225177340327,3.4448249287618093,5.877275567674293e-4
65.86020723048307,27.278879604181192,2.4143296273937986,0.01588736426597685
68.87567855793287,20.374917619503144,3.380415069359797,7.429943032546081e-4
-71.80369563421696,32.692997406106876,-2.1963020013822416,0.028228189317816038
-32.38312991873496,23.411637891392935,-1.3832065090431074,0.1668144887597132
113.92858959157905,16.83629972416127,6.766842563873078,1.904545491937521e-11
-183.20048846021555,16.078345032586714,-11.394237907503214,7.24574219589532e-29
2.9808806250193025,4.66069863807184,0.63957806683088,0.5225479767430686
0.047619080792785866,0.10555080368752046,0.4511484434904023,0.6519500253870465
-0.059547597826984426,0.03231372634721105,-1.8427957576648812,0.06556285734877267
-0.00215602351416335,0.002734071980752069,-0.7885759882482268,0.4304887750229054
5.8290020780122065,1.2261661532180983,4.753843565746673,2.194224253974733e-6
-0.15945551983826378,0.18998140688449833,-0.8393217128621794,0.40142715560404507
